gene_id,gene_name,cluster_id
ENSG00000176953.13,NFATC2IP,3
ENSG00000177084.18,POLE,12
ENSG00000177189.14,RPS6KA3,9
ENSG00000177370.5,TIMM22,12
ENSG00000177427.13,MIEF2,13
ENSG00000177469.13,CAVIN1,13
ENSG00000177479.20,ARIH2,1
ENSG00000177733.7,HNRNPA0,2
ENSG00000177842.12,ZNF620,9
ENSG00000177868.12,SVBP,14
ENSG00000177889.10,UBE2N,7
ENSG00000178177.16,LCORL,12
ENSG00000178202.13,POGLUT3,12
ENSG00000178538.10,CA8,14
ENSG00000178567.8,EPM2AIP1,12
ENSG00000178585.15,CTNNBIP1,12
ENSG00000178691.11,SUZ12,9
ENSG00000178927.18,CYBC1,9
ENSG00000178951.9,ZBTB7A,13
ENSG00000179119.15,SPTY2D1,9
ENSG00000179151.13,EDC3,13
ENSG00000179262.10,RAD23A,12
ENSG00000179295.19,PTPN11,13
ENSG00000179348.12,GATA2,2
ENSG00000179526.17,SHARPIN,6
ENSG00000179604.10,CDC42EP4,14
ENSG00000179833.4,SERTAD2,13
ENSG00000179918.19,SEPHS2,13
ENSG00000179958.10,DCTPP1,3
ENSG00000180198.17,RCC1,4
ENSG00000180228.14,PRKRA,1
ENSG00000180304.14,OAZ2,13
ENSG00000180357.10,ZNF609,9
ENSG00000180370.10,PAK2,1
ENSG00000180398.13,MCFD2,3
ENSG00000180423.4,HARBI1,14
ENSG00000180530.11,NRIP1,13
ENSG00000180573.10,H2AC6,10
ENSG00000180596.8,H2BC4,8
ENSG00000180806.5,HOXC9,13
ENSG00000180818.5,HOXC10,13
ENSG00000180957.19,PITPNB,12
ENSG00000180964.17,TCEAL8,1
ENSG00000181061.14,HIGD1A,7
ENSG00000181104.7,F2R,13
ENSG00000181192.12,DHTKD1,13
ENSG00000181274.7,FRAT2,13
ENSG00000181396.13,OGFOD3,1
ENSG00000181704.12,YIPF6,8
ENSG00000181904.9,C5orf24,1
ENSG00000182054.10,IDH2,10
ENSG00000182093.16,GET1,13
ENSG00000182199.11,SHMT2,13
ENSG00000182220.15,ATP6AP2,1
ENSG00000182400.15,TRAPPC6B,2
ENSG00000182446.14,NPLOC4,2
ENSG00000182551.14,ADI1,13
ENSG00000182552.15,RWDD4,13
ENSG00000182628.13,SKA2,1
ENSG00000182742.6,HOXB4,12
ENSG00000182831.12,C16orf72,9
ENSG00000182952.5,HMGN4,1
ENSG00000183077.16,AFMID,9
ENSG00000183137.15,CEP57L1,11
ENSG00000183155.5,RABIF,4
ENSG00000183255.12,PTTG1IP,12
ENSG00000183291.18,SELENOF,2
ENSG00000183431.12,SF3A3,5
ENSG00000183474.16,GTF2H2C,13
ENSG00000183495.14,EP400,2
ENSG00000183513.9,COA5,3
ENSG00000183520.12,UTP11,12
ENSG00000183597.16,TANGO2,11
ENSG00000183726.11,TMEM50A,3
ENSG00000183751.16,TBL3,4
ENSG00000184007.22,PTP4A2,20
ENSG00000184117.12,NIPSNAP1,13
ENSG00000184203.8,PPP1R2,9
ENSG00000184575.12,XPOT,2
ENSG00000184743.13,ATL3,3
ENSG00000184863.11,RBM33,13
ENSG00000184900.16,SUMO3,18
ENSG00000184903.10,IMMP2L,12
ENSG00000184983.11,NDUFA6,19
ENSG00000184992.13,BRI3BP,1
ENSG00000185009.13,AP3M1,11
ENSG00000185127.6,C6orf120,1
ENSG00000185129.8,PURA,1
ENSG00000185163.10,DDX51,4
ENSG00000185219.18,ZNF445,13
ENSG00000185222.10,TCEAL9,1
ENSG00000185252.19,ZNF74,9
ENSG00000185262.9,UBALD2,6
ENSG00000185305.12,ARL15,9
ENSG00000185414.20,MRPL30,8
ENSG00000185480.12,PARPBP,12
ENSG00000185515.16,BRCC3,13
ENSG00000185551.15,NR2F2,9
ENSG00000185591.10,SP1,9
ENSG00000185650.10,ZFP36L1,13
ENSG00000185658.14,BRWD1,12
ENSG00000185787.15,MORF4L1,16
ENSG00000185800.12,DMWD,6
ENSG00000185811.20,IKZF1,13
ENSG00000185813.11,PCYT2,13
ENSG00000185950.9,IRS2,9
ENSG00000186063.13,AIDA,1
ENSG00000186187.12,ZNRF1,13
ENSG00000186432.10,KPNA4,13
ENSG00000186480.13,INSIG1,2
ENSG00000186575.19,NF2,13
ENSG00000186591.13,UBE2H,13
ENSG00000186660.15,ZFP91,13
ENSG00000186665.10,C17orf58,13
ENSG00000186687.16,LYRM7,1
ENSG00000186814.14,ZSCAN30,12
ENSG00000187098.18,MITF,13
ENSG00000187109.15,"NAP1L1",13
ENSG00000187514.17,PTMA,12
ENSG00000187555.16,USP7,3
ENSG00000187630.18,DHRS4L2,12
ENSG00000187699.10,C2orf88,9
ENSG00000187772.8,LIN28B,13
ENSG00000187954.13,CYHR1,13
ENSG00000187994.14,RINL,13
ENSG00000188313.13,PLSCR1,13
ENSG00000188529.15,SRSF10,1
ENSG00000188677.15,PARVB,12
ENSG00000188725.8,SMIM15,1
ENSG00000188739.15,RBM34,13
ENSG00000188846.14,RPL14,17
ENSG00000188895.12,MSL1,12
ENSG00000188994.13,ZNF292,12
ENSG00000189159.16,JPT1,10
ENSG00000189266.13,PNRC2,13
ENSG00000189403.15,HMGB1,18
ENSG00000196072.12,BLOC1S2,1
ENSG00000196081.10,ZNF724,13
ENSG00000196214.11,ZNF766,12
ENSG00000196227.11,FAM217B,13
ENSG00000196230.14,TUBB,20
ENSG00000196323.14,ZBTB44,13
ENSG00000196363.10,WDR5,8
ENSG00000196449.4,YRDC,10
ENSG00000196504.19,PRPF40A,1
ENSG00000196584.3,XRCC2,13
ENSG00000196628.20,TCF4,14
ENSG00000196636.8,SDHAF3,3
ENSG00000196646.12,ZNF136,13
ENSG00000196705.8,ZNF431,1
ENSG00000196715.7,VKORC1L1,14
ENSG00000196787.4,H2AC11,15
ENSG00000196792.12,STRN3,13
ENSG00000196821.10,ILRUN,13
ENSG00000196914.9,ARHGEF12,1
ENSG00000196937.11,FAM3C,1
ENSG00000197008.10,ZNF138,9
ENSG00000197043.14,ANXA6,12
ENSG00000197063.11,MAFG,9
ENSG00000197147.15,LRRC8B,9
ENSG00000197170.10,PSMD12,8
ENSG00000197223.12,C1D,1
ENSG00000197265.9,GTF2E2,13
ENSG00000197299.13,BLM,4
ENSG00000197323.12,TRIM33,9
ENSG00000197324.9,LRP10,13
ENSG00000197343.11,ZNF655,13
ENSG00000197471.12,SPN,9
ENSG00000197622.13,CDC42SE1,8
ENSG00000197713.15,RPE,13
ENSG00000197746.15,PSAP,12
ENSG00000197771.13,MCMBP,9
ENSG00000197780.11,TAF13,9
ENSG00000197930.13,ERO1A,1
ENSG00000197951.10,ZNF71,11
ENSG00000197965.12,MPZL1,2
ENSG00000198000.12,NOL8,9
ENSG00000198001.15,IRAK4,17
ENSG00000198015.14,MRPL42,14
ENSG00000198042.11,MAK16,13
ENSG00000198055.11,GRK6,9
ENSG00000198056.15,PRIM1,4
ENSG00000198060.10,MARCHF5,9
ENSG00000198131.15,ZNF544,1
ENSG00000198176.13,TFDP1,18
ENSG00000198189.11,HSD17B11,13
ENSG00000198218.11,QRICH1,13
ENSG00000198408.14,OGA,1
ENSG00000198431.17,TXNRD1,12
ENSG00000198464.14,ZNF480,12
ENSG00000198522.14,GPN1,12
ENSG00000198586.14,TLK1,1
ENSG00000198612.11,COPS8,12
ENSG00000198625.14,MDM4,13
ENSG00000198663.17,C6orf89,14
ENSG00000198668.14,CALM1,12
ENSG00000198677.12,TTC37,9
ENSG00000198700.10,IPO9,1
ENSG00000198728.11,LDB1,13
ENSG00000198736.13,MSRB1,12
ENSG00000198743.7,SLC5A3,1
ENSG00000198771.11,RCSD1,1
ENSG00000198791.12,CNOT7,1
ENSG00000198830.11,HMGN2,7
ENSG00000198833.7,UBE2J1,1
ENSG00000198836.11,OPA1,1
ENSG00000198839.10,ZNF277,9
ENSG00000198856.13,OSTC,3
ENSG00000198898.15,CAPZA2,9
ENSG00000198911.12,SREBF2,2
ENSG00000203667.10,COX20,12
ENSG00000203668.3,CHML,9
ENSG00000203705.11,TATDN3,1
ENSG00000204084.13,INPP5B,13
ENSG00000204120.16,GIGYF2,1
ENSG00000204304.12,PBX2,8
ENSG00000204370.13,SDHD,12
ENSG00000204420.10,MPIG6B,9
ENSG00000204568.12,MRPS18B,13
ENSG00000204577.12,LILRB3,13
ENSG00000204713.11,TRIM27,14
ENSG00000204899.6,MZT1,7
ENSG00000205002.4,AARD,13
ENSG00000205155.8,PSENEN,9
ENSG00000205302.7,SNX2,13
ENSG00000205339.10,IPO7,1
ENSG00000211456.13,SACM1L,1
ENSG00000211460.12,TSN,3
ENSG00000213024.12,NUP62,13
ENSG00000213246.7,SUPT4H1,3
ENSG00000213281.5,NRAS,1
ENSG00000213463.5,SYNJ2BP,13
ENSG00000213625.9,LEPROT,1
ENSG00000213639.10,PPP1CB,2
ENSG00000213699.9,SLC35F6,13
ENSG00000213889.11,PPM1N,9
ENSG00000213923.13,CSNK1E,1
ENSG00000213995.12,"NAXD",12
ENSG00000214753.4,HNRNPUL2,13
ENSG00000214941.8,ZSWIM7,13
ENSG00000215712.11,TMEM242,3
ENSG00000215717.7,TMEM167B,3
ENSG00000220205.9,VAMP2,9
ENSG00000221823.11,PPP3R1,12
ENSG00000221978.13,CCNL2,9
ENSG00000223496.3,EXOSC6,3
ENSG00000228049.7,POLR2J2,13
ENSG00000228716.7,DHFR,3
ENSG00000231925.13,TAPBP,13
ENSG00000233822.6,H2BC15,13
ENSG00000234545.8,FAM133B,9
ENSG00000237190.4,CDKN2AIPNL,13
ENSG00000239306.5,RBM14,4
ENSG00000239789.6,MRPS17,14
ENSG00000239857.7,GET4,15
ENSG00000240682.10,ISY1,12
ENSG00000240849.11,PEDS1,13
ENSG00000241258.7,CRCP,12
ENSG00000243646.10,IL10RB,9
ENSG00000244038.11,DDOST,9
ENSG00000244045.13,TMEM199,13
ENSG00000244462.8,RBM12,1
ENSG00000244509.4,APOBEC3C,9
ENSG00000244687.13,UBE2V1,1
ENSG00000247077.7,PGAM5,14
ENSG00000249437.8,"NAIP",13
ENSG00000253250.3,C8orf88,2
ENSG00000253276.5,CCDC71L,13
ENSG00000254087.8,LYN,1
ENSG00000254470.3,AP5B1,3
ENSG00000254999.4,BRK1,8
ENSG00000255302.5,EID1,13
ENSG00000256525.8,POLG2,11
ENSG00000256537.5,SMIM10L1,13
ENSG00000257103.9,LSM14A,9
ENSG00000259956.2,RBM15B,9
ENSG00000263001.8,GTF2I,1
ENSG00000263465.5,SRSF8,13
ENSG00000264364.3,DYNLL2,3
ENSG00000265491.5,RNF115,1
ENSG00000265808.4,SEC22B,13
ENSG00000265972.6,TXNIP,13
ENSG00000266412.6,NCOA4,12
ENSG00000269190.6,FBXO17,12
ENSG00000269404.7,SPIB,12
ENSG00000270800.3,RPS10-NUDT3,3
ENSG00000271503.6,CCL5,13
ENSG00000271601.4,LIX1L,3
ENSG00000272391.6,POM121C,13
ENSG00000272602.6,ZNF595,12
ENSG00000272886.6,DCP1A,9
ENSG00000275004.4,ZNF280B,13
ENSG00000275052.5,PPP4R3B,2
ENSG00000275713.3,H2BC9,14
ENSG00000278053.5,DDX52,17
ENSG00000278311.5,GGNBP2,1
ENSG00000278540.5,ACACA,13
ENSG00000278828.2,H3C10,12
ENSG00000280789.2,PAGR1,8
ENSG00000288701.1,PRRC2B,13
