gene_id,gene_name,cluster_id
ENSG00000092847.13,AGO1,13
ENSG00000093000.19,NUP50,5
ENSG00000093144.19,ECHDC1,1
ENSG00000093167.18,LRRFIP2,13
ENSG00000094804.12,CDC6,1
ENSG00000094916.16,CBX5,3
ENSG00000095209.12,TMEM38B,1
ENSG00000095261.14,PSMD5,13
ENSG00000095787.24,WAC,12
ENSG00000095794.20,CREM,9
ENSG00000096060.15,FKBP5,4
ENSG00000096063.16,SRPK1,2
ENSG00000096092.6,TMEM14A,8
ENSG00000096401.8,CDC5L,13
ENSG00000096746.18,HNRNPH3,5
ENSG00000097033.14,SH3GLB1,2
ENSG00000099194.6,SCD,8
ENSG00000099246.18,RAB18,13
ENSG00000099337.5,KCNK6,9
ENSG00000099341.12,PSMD8,6
ENSG00000099804.9,CDC34,1
ENSG00000099817.12,POLR2E,9
ENSG00000099899.15,TRMT2A,12
ENSG00000099940.12,SNAP29,6
ENSG00000099995.19,SF3A1,12
ENSG00000100030.15,MAPK1,2
ENSG00000100034.14,PPM1F,11
ENSG00000100104.13,SRRD,15
ENSG00000100138.15,SNU13,10
ENSG00000100201.23,DDX17,13
ENSG00000100219.17,XBP1,3
ENSG00000100239.16,PPP6R2,12
ENSG00000100294.13,MCAT,4
ENSG00000100296.14,THOC5,4
ENSG00000100335.15,MIEF1,13
ENSG00000100345.23,MYH9,13
ENSG00000100348.10,TXN2,13
ENSG00000100350.16,FOXRED2,1
ENSG00000100354.21,TNRC6B,13
ENSG00000100364.19,KIAA0930,11
ENSG00000100372.15,SLC25A17,3
ENSG00000100380.15,ST13,5
ENSG00000100401.20,RANGAP1,14
ENSG00000100410.8,PHF5A,13
ENSG00000100519.12,PSMC6,3
ENSG00000100522.10,GNPNAT1,9
ENSG00000100528.12,CNIH1,13
ENSG00000100664.11,EIF5,13
ENSG00000100722.20,ZC3H14,14
ENSG00000100796.18,PPP4R3A,1
ENSG00000100811.14,YY1,13
ENSG00000100813.15,ACIN1,12
ENSG00000100836.11,PABPN1,13
ENSG00000100852.14,ARHGAP5,1
ENSG00000100888.15,CHD8,12
ENSG00000100890.16,PRORP,12
ENSG00000100897.18,DCAF11,4
ENSG00000100934.15,SEC23A,13
ENSG00000100941.9,PNN,1
ENSG00000101019.22,UQCC1,12
ENSG00000101040.20,ZMYND8,9
ENSG00000101079.21,NDRG3,2
ENSG00000101109.12,STK4,1
ENSG00000101138.12,CSTF1,2
ENSG00000101150.18,TPD52L2,13
ENSG00000101166.16,PRELID3B,2
ENSG00000101191.17,DIDO1,9
ENSG00000101193.8,GID8,3
ENSG00000101236.17,RNF24,9
ENSG00000101246.20,ARFRP1,12
ENSG00000101266.19,CSNK2A1,13
ENSG00000101310.17,SEC23B,11
ENSG00000101337.16,TM9SF4,13
ENSG00000101346.14,POFUT1,14
ENSG00000101367.9,MAPRE1,18
ENSG00000101421.4,CHMP4B,1
ENSG00000101557.15,USP14,3
ENSG00000101811.14,CSTF2,3
ENSG00000101843.19,PSMD10,12
ENSG00000101856.10,PGRMC1,18
ENSG00000101935.12,AMMECR1,13
ENSG00000101966.13,XIAP,9
ENSG00000102144.15,PGK1,4
ENSG00000102158.22,MAGT1,12
ENSG00000102178.13,UBL4A,3
ENSG00000102317.18,RBM3,12
ENSG00000102362.16,SYTL4,9
ENSG00000102401.20,ARMCX3,9
ENSG00000102471.15,NDFIP2,2
ENSG00000102572.15,STK24,1
ENSG00000102580.15,DNAJC3,9
ENSG00000102606.19,ARHGEF7,3
ENSG00000102743.15,SLC25A15,13
ENSG00000102753.10,KPNA3,1
ENSG00000102893.16,PHKB,6
ENSG00000102908.22,NFAT5,9
ENSG00000102931.8,ARL2BP,9
ENSG00000102978.13,POLR2C,1
ENSG00000103018.18,CYB5B,3
ENSG00000103035.11,PSMD7,9
ENSG00000103037.12,SETD6,4
ENSG00000103111.15,MON1B,13
ENSG00000103249.18,CLCN7,13
ENSG00000103260.9,METRN,15
ENSG00000103342.13,GSPT1,12
ENSG00000103415.12,HMOX2,9
ENSG00000103485.19,QPRT,7
ENSG00000103550.14,KNOP1,4
ENSG00000103591.13,AAGAB,13
ENSG00000103653.17,CSK,9
ENSG00000103769.10,RAB11A,2
ENSG00000103994.18,ZNF106,13
ENSG00000104231.11,ZFAND1,12
ENSG00000104312.8,RIPK2,1
ENSG00000104331.9,BPNT2,2
ENSG00000104341.17,LAPTM4B,1
ENSG00000104388.15,RAB2A,3
ENSG00000104442.10,ARMC1,1
ENSG00000104472.10,CHRAC1,13
ENSG00000104517.13,UBR5,13
ENSG00000104524.14,PYCR3,4
ENSG00000104671.8,DCTN6,9
ENSG00000104687.14,GSR,3
ENSG00000104689.10,TNFRSF10A,2
ENSG00000104691.16,UBXN8,1
ENSG00000104738.18,MCM4,9
ENSG00000104756.16,KCTD9,13
ENSG00000104774.13,MAN2B1,6
ENSG00000104805.16,NUCB1,11
ENSG00000104824.18,HNRNPL,13
ENSG00000104885.19,DOT1L,2
ENSG00000105053.11,VRK3,13
ENSG00000105063.19,PPP6R1,13
ENSG00000105197.11,TIMM50,4
ENSG00000105220.17,GPI,2
ENSG00000105246.6,EBI3,13
ENSG00000105323.18,HNRNPUL1,1
ENSG00000105355.9,PLIN3,12
ENSG00000105438.9,KDELR1,9
ENSG00000105568.18,PPP2R1A,4
ENSG00000105576.16,TNPO2,13
ENSG00000105793.16,GTPBP10,14
ENSG00000105810.10,CDK6,9
ENSG00000105835.13,"NAMPT",11
ENSG00000105849.6,POLR1F,3
ENSG00000105879.12,CBLL1,3
ENSG00000105887.11,MTPN,13
ENSG00000105939.14,ZC3HAV1,9
ENSG00000105968.19,H2AZ2,13
ENSG00000106070.20,GRB10,3
ENSG00000106080.11,FKBP14,13
ENSG00000106261.17,ZKSCAN1,13
ENSG00000106266.11,SNX8,3
ENSG00000106344.8,RBM28,14
ENSG00000106355.10,LSM5,8
ENSG00000106392.11,C1GALT1,13
ENSG00000106609.16,TMEM248,2
ENSG00000106636.9,YKT6,3
ENSG00000106799.13,TGFBR1,18
ENSG00000107290.14,SETX,1
ENSG00000107341.5,UBE2R2,12
ENSG00000107372.13,ZFAND5,13
ENSG00000107581.13,EIF3A,3
